,category
0,CRM Software
1,Project Management Software
2,Expense Management Software
3,Video Conferencing Software
4,Online Backup Software
5,E-Commerce Platforms
6,Accounting Software
7,ERP Systems
8,Marketing Automation Software
9,All Categories
10,CRM
11,Sales Compensation
12,Contract Management
13,E-Signature
14,Sales Acceleration
15,Sales Intelligence
16,Account-Based Marketing
17,Content Marketing
18,Conversion Rate Optimization Tools
19,Customer Data Platform (CDP)
20,Demand Generation
21,Digital Analytics
22,Email Marketing
23,Event Management
24,Marketing Analytics
25,Marketing Automation
26,Personalization
27,Public Relations (PR)
28,SEO Tools
29,SMS Marketing
30,Social Media Marketing
31,Technology Research Services
32,Transactional Email
33,Local Listing Management
34,Business Intelligence
35,Data Virtualization
36,Drone Analytics
37,Enterprise Search Software
38,Insight Engines
39,Predictive Analytics
40,Statistical Analysis
41,Text Analysis
42,Time Series Intelligence
43,Visitor Behavior Intelligence
44,GIS
45,PLM
46,Building Design and Building Information Modeling (BIM)
47,Civil Engineering Design
48,General-Purpose CAD
49,Mechanical Computer-aided Design (MCAD)
50,PCB Design
51,Sketching
52,Team Collaboration
53,Idea Management
54,Meeting Management
55,UCaaS Platforms
56,Video Conferencing
57,VoIP
58,POS
59,E-Merchandising
60,Payment Gateways
61,Review Management
62,Subscription Management
63,Brand Protection
64,Drop Shipping
65,E-Commerce Personalization
66,Product Information Management (PIM)
67,Retail Execution
68,Shopping Cart
69,Digital Asset Management
70,Digital Experience Platforms (DXP)
71,Enterprise Content Management (ECM)
72,Headless CMS
73,Knowledge Management
74,Localization
75,Mobile Forms Automation
76,Translation Management
77,Web Accessibility
78,Web Content Management
79,Help Desk
80,Live Chat
81,Customer Self-Service
82,Social Customer Service
83,Call &amp; Contact Center
84,Conversational Support
85,Customer Success
86,Enterprise Feedback Management
87,Experience Management
88,Consent Management Platform (CMP)
89,Data Privacy Management
90,Data Subject Access Request (DSAR)
91,Privacy Impact Assessment (PIA)
92,Sensitive Data Discovery
93,Video
94,Cloud Platform as a Service (PaaS)
95,Integrated Development Environments (IDE)
96,Software Testing
97,Application Development
98,Game Development
99,Software Development Analytics Tools
100,Test Management
101,Web Frameworks
102,WebOps Platforms
103,Bug Tracking
104,Text Editor
105,Application Release Orchestration
106,Automation Testing
107,Batch Management
108,CI/CD Tools
109,Containerization
110,Source Code Management
111,Click Fraud
112,Cross-Channel Advertising
113,Data Management Platform (DMP)
114,Demand Side Platform (DSP)
115,Display Advertising
116,Mobile Advertising
117,Other Digital Advertising
118,Publisher Ad Management
119,Retargeting
120,Search Advertising
121,Social Media Advertising
122,Supply Side Platform (SSP)
123,Video Advertising
124,Procurement
125,Discrete ERP
126,Distribution ERP
127,"Environmental, Quality and Safety Management"
128,Industrial IoT
129,Manufacturing Execution System
