,software,categories
0,100Hires,"['Applicant Tracking Systems (ATS)', 'Staffing', 'Candidate Relationship Management', 'Recruitment Marketing', 'Job Description Management']"
1,10xWinners OKR,['Objectives and Key Results (OKR)']
2,12d Synergy,['Construction ERP']
3,1Flow,['Survey']
4,1Fort,"['Data Loss Prevention (DLP)', 'Password Manager', 'Email Anti-spam']"
5,1WorldSync,"['Product Information Management (PIM)', 'Catalog Management', 'E-Commerce Analytics', 'Digital Asset Management']"
6,24ORM,['Digital Analytics']
7,33Across,"['Supply Side Platform (SSP)', 'Identity Resolution']"
8,360 CTI,['Auto Dialer']
9,360 Platform,['Mobile Advertising']
10,360 Sync,['Autodesk Construction Cloud Integration Partners']
11,365 Data Science,['Online Course Providers']
12,365Talents,"['Talent Intelligence', 'Career Management', 'Skills Management', 'Talent Marketplace Platforms']"
13,3DModelSpace,['CAD Libraries']
14,3Data,['VR Visualization']
15,3M Connected Safety,['Connected Worker Platform']
16,3radical Voco,['Gamification']
17,409A Valuation from Eton Venture Services,['409A Valuations Providers']
18,42,"['Retail Analytics', 'Retail Assortment Planning', 'E-Merchandising']"
19,42matters,"['Mobile App Analytics', 'Market Intelligence', 'App Store Optimization', 'Competitive Intelligence']"
20,4ALLPORTAL,"['Product Information Management (PIM)', 'Digital Asset Management']"
21,4Easysoft Screen Recorder,['Screen and Video Capture']
22,4medica,"['Healthcare Payer Care Management Workflow Applications', 'Patient Identity Resolution']"
23,500mail by 500apps,['Email Client']
24,6sense Revenue AI for Marketing,"['Account-Based Orchestration Platforms', 'Buyer Intent Data Providers', 'Conversational Marketing', 'Account-Based Execution', 'Account-Based Analytics', 'Marketing Account Intelligence', 'Account Data Management', 'Lead Scoring', 'Visitor Identification', 'Account-Based Advertising']"
25,6sense Revenue AI for Sales,"['Buyer Intent Data Providers', 'Account Data Management', 'Lead Intelligence', 'Lead Scoring', 'Visitor Identification', 'Sales Intelligence']"
26,7 Layer Solutions,"['Managed IT Services', 'Cloud Migration Services', 'Vulnerability Assessment Services', 'Threat Intelligence Services', 'Network Security Services', 'Managed Security Services (MSSP)', 'IT Compliance Services', 'Incident Response Services', 'Endpoint Security Services', 'Data Security Services', 'Application Security Services', 'Other Microsoft Resellers', 'Microsoft Office 365 Resellers', 'Microsoft Azure Resellers', 'IT Strategy Consulting', 'IT Infrastructure Consulting', 'Digital Transformation Consulting', 'Cybersecurity Consulting', 'Cloud Consulting', 'IT Outsourcing', 'Penetration Testing Services', 'Microsoft Consulting Services']"
27,80legs,['Web Data Providers']
28,9 Spokes,['Data Visualization']
29,@EASE,"['Volunteer Management', 'Donor Management', 'Fundraising', 'Nonprofit CRM']"
30,A-INSIGHTS,"['Market Intelligence', 'Competitive Intelligence']"
31,A-LIGN,"['Data Privacy Services', 'IT Compliance Services']"
32,A-LIGN A-SCEND,"['Security Compliance', 'Audit Management']"
33,A-Qua Mailer web,['Postal Presort']
34,A-SCEND,"['Security Compliance', 'Cloud Compliance', 'Audit Management']"
35,A2X,"['Online Marketplace Optimization Tools', 'E-Commerce Data Integration']"
36,ABB Electronic Work Instructions,['Work Instructions']
37,ABELDent,['Dental Practice Management']
38,ACTIVEWorks Endurance,['Athletic Competition Management']
39,ACTS,['Church Management']
40,AD Report Builder,['Data Visualization']
41,ADC+,['Data Center Security Solutions']
42,ADP DataCloud,"['HR Analytics', 'Pay Equity']"
43,AES Drive,['Encryption']
44,AFS G2,"['Retail Analytics', 'Retail Intelligence']"
45,AIFMD,['Other Finance \\u0026 Admin.']
46,AIGenesis,['Veterinary Practice Management']
47,AIMLEAP - Outsource Bigdata,"['Robotic Process Automation (RPA) Consultancy Services', 'UiPath Consulting', 'Data Governance Services', 'AI Development Services', 'Cloud Migration Services', 'Data Entry Services', 'Market Research Services', 'Data Extraction Services', 'Application Security Services', 'Cloud Consulting', 'Data Labeling Services']"
